Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,767050,-,-,-,42.01,-93.78,-6,333,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo
2013,1,1,0,30,0,0,0,-19,-15,980,67.38,10.600000000000001,2.5,0.866
2013,1,1,1,30,0,0,0,-20,-16,980,66.28,7.1000000000000005,2.4000000000000004,0.866
2013,1,1,2,30,0,0,0,-21,-17,980,69.44,1.9000000000000001,2.4000000000000004,0.866
2013,1,1,3,30,0,0,0,-21,-18,980,67.49,355.5,2.5,0.866
2013,1,1,4,30,0,0,0,-21,-18,980,71.59,350.70000000000005,2.5,0.866
2013,1,1,5,30,0,0,0,-22,-19,980,76.08,349.6,2.5,0.866
2013,1,1,6,30,0,0,0,-22,-19,980,75.12,351.20000000000005,2.4000000000000004,0.866
2013,1,1,7,30,0,0,0,-22,-18,980,69,353.40000000000003,2.3000000000000003,0.866
2013,1,1,8,30,514,33,89,-21,-16,980,60.79,354.1,1.9000000000000001,0.866
2013,1,1,9,30,747,57,240,-19,-13,980,57.800000000000004,352.90000000000003,1.5,0.866
2013,1,1,10,30,844,71,364,-17,-11,980,57.6,348,1.2000000000000002,0.866
2013,1,1,11,30,885,79,440,-16,-10,980,58.32,312.20000000000005,1,0.866
2013,1,1,12,30,890,81,458,-15,-9,980,57.45,265,1.5,0.866
2013,1,1,13,30,863,79,417,-14,-8,980,57.83,254.60000000000002,2.2,0.866
2013,1,1,14,30,796,70,321,-14,-8,980,61.660000000000004,252.3,2.4000000000000004,0.866
2013,1,1,15,30,659,52,183,-13,-9,980,71.41,250.8,2.2,0.866
2013,1,1,16,30,319,20,37,-14,-11,980,75.57000000000001,248.60000000000002,2.1,0.866
2013,1,1,17,30,0,0,0,-16,-12,980,71.24,245.3,2.1,0.866
2013,1,1,18,30,0,0,0,-16,-13,980,76.31,241.70000000000002,2.2,0.866
2013,1,1,19,30,0,0,0,-16,-13,980,76.74,235.8,2.2,0.866
2013,1,1,20,30,0,0,0,-16,-14,980,83.55,224.70000000000002,2.2,0.866
2013,1,1,21,30,0,0,0,-16,-14,980,83.41,210.4,2.3000000000000003,0.866
2013,1,1,22,30,0,0,0,-16,-15,980,82.27,200.70000000000002,2.4000000000000004,0.866
2013,1,1,23,30,0,0,0,-16,-15,980,87.45,196.60000000000002,2.5,0.866
2013,1,2,0,30,0,0,0,-16,-15,970,86.51,196.5,2.7,0.866
2013,1,2,1,30,0,0,0,-16,-15,970,80.46000000000001,198.20000000000002,2.7,0.866
2013,1,2,2,30,0,0,0,-16,-15,970,81.53,200.9,2.6,0.866
2013,1,2,3,30,0,0,0,-16,-15,970,88.4,204.4,2.5,0.866
2013,1,2,4,30,0,0,0,-16,-14,970,81.45,208.3,2.4000000000000004,0.866
2013,1,2,5,30,0,0,0,-16,-13,970,77.16,210.4,2.3000000000000003,0.866
2013,1,2,6,30,0,0,0,-15,-13,970,76.08,212.70000000000002,2.1,0.866
2013,1,2,7,30,0,0,0,-14,-12,970,74.54,216.3,2.1,0.866
2013,1,2,8,30,461,35,86,-13,-10,970,75.3,226.60000000000002,2.6,0.866
2013,1,2,9,30,702,62,235,-11,-8,970,76.95,236.70000000000002,3.2,0.866
2013,1,2,10,30,805,78,359,-9,-7,970,73.69,241.5,3.4000000000000004,0.866
2013,1,2,11,30,54,170,192,-8,-5,970,75.42,241.4,3.6,0.866
2013,1,2,12,30,0,124,124,-7,-3,970,71.9,245.5,3.9000000000000004,0.866
2013,1,2,13,30,0,97,97,-6,-3,970,77.28,253.3,4.1000000000000005,0.866
2013,1,2,14,30,0,86,86,-5,-3,970,81.24,261.5,3.8000000000000003,0.866
2013,1,2,15,30,0,32,32,-5,-3,970,83.57000000000001,267.1,3,0.866
2013,1,2,16,30,0,6,6,-5,-4,970,88.64,267.1,2.5,0.866
2013,1,2,17,30,0,0,0,-6,-4,970,85.11,272.1,2.7,0.866
2013,1,2,18,30,0,0,0,-5,-4,970,87.05,284.7,3.1,0.866
2013,1,2,19,30,0,0,0,-5,-3,970,85.03,295.8,3.5,0.866
2013,1,2,20,30,0,0,0,-4,-3,970,87.39,303.5,3.7,0.866
