Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,767050,-,-,-,42.01,-93.78,-6,333,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo
2014,1,1,0,30,0,0,0,-16,-13,980,72.79,73,5,0.866
2014,1,1,1,30,0,0,0,-17,-13,980,71.06,71.5,4.9,0.866
2014,1,1,2,30,0,0,0,-17,-13,980,69.22,64.4,4.9,0.866
2014,1,1,3,30,0,0,0,-17,-13,980,66.82000000000001,50.7,5.1000000000000005,0.866
2014,1,1,4,30,0,0,0,-18,-14,980,63.75,41.6,5.6000000000000005,0.866
2014,1,1,5,30,0,0,0,-18,-14,980,66.1,44.900000000000006,5.7,0.866
2014,1,1,6,30,0,0,0,-19,-14,980,64.3,50.300000000000004,5.6000000000000005,0.866
2014,1,1,7,30,0,0,0,-19,-15,980,63.440000000000005,53.5,5.4,0.866
2014,1,1,8,30,0,23,23,-19,-14,980,63.08,53.1,5.2,0.866
2014,1,1,9,30,6,88,90,-19,-14,980,63.25,50,5.1000000000000005,0.866
2014,1,1,10,30,0,91,91,-19,-14,980,59.370000000000005,47.900000000000006,4.9,0.866
2014,1,1,11,30,50,167,188,-18,-13,980,61.22,44.6,4.7,0.866
2014,1,1,12,30,100,184,226,-18,-13,980,63.11,38.5,4.7,0.866
2014,1,1,13,30,37,156,170,-18,-13,980,64.55,31,4.800000000000001,0.866
2014,1,1,14,30,123,130,168,-18,-13,980,65.06,27,4.9,0.866
2014,1,1,15,30,0,25,25,-18,-13,980,64.3,25.400000000000002,4.9,0.866
2014,1,1,16,30,0,5,5,-18,-13,980,62.54,25.1,4.800000000000001,0.866
2014,1,1,17,30,0,0,0,-19,-13,980,60.45,24.8,4.6000000000000005,0.866
2014,1,1,18,30,0,0,0,-19,-14,980,63.42,22.400000000000002,4.4,0.866
2014,1,1,19,30,0,0,0,-19,-14,980,61.09,16.900000000000002,4.1000000000000005,0.866
2014,1,1,20,30,0,0,0,-20,-15,980,63.84,9.600000000000001,3.8000000000000003,0.866
2014,1,1,21,30,0,0,0,-20,-16,980,66.55,3.5,3.5,0.866
2014,1,1,22,30,0,0,0,-21,-17,980,69.23,356.8,3.4000000000000004,0.866
2014,1,1,23,30,0,0,0,-21,-18,980,67.14,351.8,3.4000000000000004,0.866
2014,1,2,0,30,0,0,0,-21,-18,980,72.07000000000001,349.5,3.4000000000000004,0.866
2014,1,2,1,30,0,0,0,-21,-17,980,66.42,348.1,3.5,0.866
2014,1,2,2,30,0,0,0,-21,-17,980,62.68,348.20000000000005,3.7,0.866
2014,1,2,3,30,0,0,0,-21,-16,980,64.38,350,3.9000000000000004,0.866
2014,1,2,4,30,0,0,0,-21,-16,980,64.98,350.90000000000003,3.8000000000000003,0.866
2014,1,2,5,30,0,0,0,-21,-16,980,64.87,352,3.8000000000000003,0.866
2014,1,2,6,30,0,0,0,-21,-17,980,64.25,353.1,3.7,0.866
2014,1,2,7,30,0,0,0,-21,-17,980,68.07000000000001,353.20000000000005,3.8000000000000003,0.866
2014,1,2,8,30,529,34,92,-21,-16,980,61.940000000000005,354.8,4.3,0.866
2014,1,2,9,30,770,58,247,-20,-14,980,55.9,358.20000000000005,4.7,0.866
2014,1,2,10,30,873,71,375,-20,-13,990,53.97,0.8,4.6000000000000005,0.866
2014,1,2,11,30,921,78,455,-19,-12,980,51.7,359.5,4.5,0.866
2014,1,2,12,30,935,79,475,-19,-11,980,48.730000000000004,355.8,4.3,0.866
2014,1,2,13,30,920,74,435,-19,-11,980,49.230000000000004,351.6,4.1000000000000005,0.866
2014,1,2,14,30,864,65,338,-19,-11,990,49.13,350.40000000000003,3.8000000000000003,0.866
2014,1,2,15,30,737,49,197,-19,-13,990,57.38,351.20000000000005,3.1,0.866
2014,1,2,16,30,399,20,42,-20,-14,990,56.03,350.1,2.5,0.866
2014,1,2,17,30,0,0,0,-21,-15,990,58.57,348.8,2,0.866
2014,1,2,18,30,0,0,0,-21,-16,990,62.84,356.1,1.8,0.866
2014,1,2,19,30,0,0,0,-21,-17,990,67.64,5.5,1.5,0.866
2014,1,2,20,30,0,0,0,-21,-17,990,67.2,20.400000000000002,1.2000000000000002,0.866
2014,1,2,21,30,0,0,0,-21,-18,990,73.08,50.400000000000006,0.9,0.866
2014,1,2,22,30,0,0,0,-21,-18,990,73.92,119.10000000000001,1.1,0.866
2014,1,2,23,30,0,0,0,-21,-18,980,73.96000000000001,181.20000000000002,1.6,0.866
2014,1,3,0,30,0,0,0,-21,-18,980,73.94,196.8,1.9000000000000001,0.866
2014,1,3,1,30,0,0,0,-21,-18,980,74.29,193.10000000000002,2.2,0.866
2014,1,3,2,30,0,0,0,-21,-18,980,74.62,181.60000000000002,2.8000000000000003,0.866
