Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,767050,-,-,-,42.01,-93.78,-6,333,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo
2011,1,1,0,30,0,0,0,-22,-13,960,46.67,246,9.1,0.134
2011,1,1,1,30,0,0,0,-22,-14,960,44.95,246.9,9.3,0.134
2011,1,1,2,30,0,0,0,-22,-14,960,48.550000000000004,250.5,9.3,0.134
2011,1,1,3,30,0,0,0,-22,-14,960,45.85,253.70000000000002,9,0.134
2011,1,1,4,30,0,0,0,-21,-13,960,49.120000000000005,255.4,8.8,0.134
2011,1,1,5,30,0,0,0,-20,-13,960,52.1,258.6,8.9,0.134
2011,1,1,6,30,0,0,0,-20,-13,960,52.04,264,8.9,0.134
2011,1,1,7,30,0,0,0,-20,-13,970,52.370000000000005,267.7,8.700000000000001,0.134
2011,1,1,8,30,467,34,86,-20,-13,970,53.65,270.40000000000003,8.700000000000001,0.134
2011,1,1,9,30,716,57,233,-20,-13,970,49.92,272.1,8.8,0.134
2011,1,1,10,30,253,139,227,-20,-12,970,51.32,274,8.700000000000001,0.134
2011,1,1,11,30,0,103,103,-19,-11,970,50.04,276.5,8.6,0.134
2011,1,1,12,30,218,181,274,-18,-10,970,49.49,280,8.5,0.134
2011,1,1,13,30,191,166,241,-17,-10,970,48.5,285,8.3,0.134
2011,1,1,14,30,62,127,146,-17,-9,970,50.84,289.7,7.9,0.134
2011,1,1,15,30,112,76,98,-16,-9,970,52.82,291.8,6.9,0.134
2011,1,1,16,30,337,19,36,-16,-10,970,59.050000000000004,290.1,5.7,0.134
2011,1,1,17,30,0,0,0,-16,-11,970,60.47,284.3,4.7,0.134
2011,1,1,18,30,0,0,0,-16,-12,980,65.66,275.40000000000003,4.1000000000000005,0.134
2011,1,1,19,30,0,0,0,-16,-12,980,70.4,268,4,0.134
2011,1,1,20,30,0,0,0,-16,-13,980,75.12,267.3,3.9000000000000004,0.134
2011,1,1,21,30,0,0,0,-16,-13,980,74.14,269.2,3.8000000000000003,0.134
2011,1,1,22,30,0,0,0,-16,-13,980,69.57000000000001,268.90000000000003,3.6,0.134
2011,1,1,23,30,0,0,0,-16,-13,980,71.37,264.90000000000003,3.2,0.134
2011,1,2,0,30,0,0,0,-15,-13,980,72.73,260.7,2.9000000000000004,0.134
2011,1,2,1,30,0,0,0,-15,-13,980,79.12,255.60000000000002,2.9000000000000004,0.134
2011,1,2,2,30,0,0,0,-15,-13,980,79.3,248.20000000000002,3,0.134
2011,1,2,3,30,0,0,0,-15,-13,980,79.04,243.60000000000002,2.9000000000000004,0.134
2011,1,2,4,30,0,0,0,-16,-14,980,83.23,242.10000000000002,2.7,0.134
2011,1,2,5,30,0,0,0,-16,-15,980,80.72,239.20000000000002,2.5,0.134
2011,1,2,6,30,0,0,0,-16,-15,980,84.98,230.9,2.4000000000000004,0.134
2011,1,2,7,30,0,0,0,-17,-14,980,76.44,218,2.9000000000000004,0.134
2011,1,2,8,30,168,38,56,-17,-13,970,71.91,207.60000000000002,3.6,0.134
2011,1,2,9,30,778,46,237,-15,-10,970,62.63,200.3,4.2,0.134
2011,1,2,10,30,865,55,357,-14,-7,970,55.14,217.8,4.800000000000001,0.134
2011,1,2,11,30,901,61,429,-13,-5,970,52.800000000000004,229.3,4.800000000000001,0.134
2011,1,2,12,30,879,70,442,-12,-3,970,49.71,232.3,4.7,0.134
2011,1,2,13,30,434,135,305,-11,-1,970,46.410000000000004,231.60000000000002,4.6000000000000005,0.134
2011,1,2,14,30,381,109,229,-10,-1,970,49.59,230.8,4,0.134
2011,1,2,15,30,627,50,175,-8,-3,970,58.99,227.5,2.7,0.134
2011,1,2,16,30,273,20,35,-8,-5,970,74.8,222.70000000000002,2.1,0.134
2011,1,2,17,30,0,0,0,-9,-6,970,74.44,221.3,2.3000000000000003,0.134
2011,1,2,18,30,0,0,0,-10,-6,970,73.19,224,2.6,0.134
2011,1,2,19,30,0,0,0,-10,-6,970,72.76,230.60000000000002,2.9000000000000004,0.134
2011,1,2,20,30,0,0,0,-10,-7,970,77.98,238.60000000000002,3,0.134
2011,1,2,21,30,0,0,0,-10,-7,970,76.94,245.3,3.1,0.134
2011,1,2,22,30,0,0,0,-10,-8,970,75.49,249.70000000000002,3,0.134
2011,1,2,23,30,0,0,0,-10,-8,970,79.85000000000001,253.10000000000002,2.8000000000000003,0.134
2011,1,3,0,30,0,0,0,-11,-8,970,78.81,257.40000000000003,2.6,0.134
2011,1,3,1,30,0,0,0,-11,-9,970,84.43,260.90000000000003,2.3000000000000003,0.134
2011,1,3,2,30,0,0,0,-11,-9,970,83.59,263.1,2.1,0.134
2011,1,3,3,30,0,0,0,-11,-10,970,89.37,264.6,1.9000000000000001,0.134
2011,1,3,4,30,0,0,0,-11,-10,970,88.5,265.8,1.7000000000000002,0.134
2011,1,3,5,30,0,0,0,-11,-10,970,88,265.2,1.5,0.134
2011,1,3,6,30,0,0,0,-11,-10,970,87.5,263.6,1.3,0.134
2011,1,3,7,30,0,0,0,-11,-9,970,81.28,262.40000000000003,1.6,0.134
2011,1,3,8,30,0,13,13,-10,-7,970,73.26,259.6,2,0.134
2011,1,3,9,30,0,61,61,-10,-6,970,71.75,253.8,1.9000000000000001,0.134
2011,1,3,10,30,173,146,206,-9,-4,970,67.81,238.10000000000002,1.6,0.134
2011,1,3,11,30,313,163,292,-7,-2,970,61.78,215.60000000000002,1.7000000000000002,0.134
2011,1,3,12,30,848,74,435,-6,0,970,63.79,222,2.3000000000000003,0.134
2011,1,3,13,30,133,170,223,-5,0,970,63.49,243.4,2.6,0.134
2011,1,3,14,30,205,128,194,-4,1,970,68.55,256.6,2.1,0.134
2011,1,3,15,30,138,77,106,-2,0,970,84.69,258.7,1.6,0.134
2011,1,3,16,30,27,20,22,-3,0,970,79.13,258.1,2.1,0.134
2011,1,3,17,30,0,0,0,-3,0,970,74.68,265.90000000000003,3.3000000000000003,0.134
2011,1,3,18,30,0,0,0,-4,0,970,74.33,280.5,4.7,0.134
2011,1,3,19,30,0,0,0,-4,-2,970,84.85000000000001,295.7,5.800000000000001,0.134
2011,1,3,20,30,0,0,0,-6,-4,970,85.55,303.6,6,0.134
2011,1,3,21,30,0,0,0,-8,-6,970,80.77,305.7,5.5,0.134
2011,1,3,22,30,0,0,0,-10,-8,970,76.39,305.40000000000003,5.1000000000000005,0.134
2011,1,3,23,30,0,0,0,-11,-9,970,74.7,305.3,4.800000000000001,0.134
2011,1,4,0,30,0,0,0,-12,-10,970,73.73,304.40000000000003,4.6000000000000005,0.134
2011,1,4,1,30,0,0,0,-13,-10,970,74.74,303.2,4.4,0.134
2011,1,4,2,30,0,0,0,-14,-11,970,77.55,302.8,4.1000000000000005,0.134
2011,1,4,3,30,0,0,0,-14,-11,970,74.52,303.90000000000003,3.9000000000000004,0.134
2011,1,4,4,30,0,0,0,-14,-12,970,78.53,302.90000000000003,3.7,0.134
2011,1,4,5,30,0,0,0,-15,-13,970,76.53,302.2,3.6,0.134
2011,1,4,6,30,0,0,0,-15,-13,970,81.13,303,3.8000000000000003,0.134
2011,1,4,7,30,0,0,0,-15,-12,970,72.95,305,4,0.134
2011,1,4,8,30,142,38,54,-16,-12,980,66.27,304.90000000000003,3.9000000000000004,0.134
2011,1,4,9,30,735,53,234,-15,-11,980,62.71,299.6,3.7,0.134
2011,1,4,10,30,837,62,355,-14,-9,980,62.26,290.90000000000003,3.6,0.134
2011,1,4,11,30,877,68,428,-13,-7,970,59.550000000000004,282,3.5,0.134
2011,1,4,12,30,874,73,446,-12,-5,970,57.15,275.2,3.4000000000000004,0.134
2011,1,4,13,30,852,71,408,-11,-4,970,57.620000000000005,271.1,3.3000000000000003,0.134
2011,1,4,14,30,791,64,317,-10,-4,970,61.050000000000004,269.5,3,0.134
2011,1,4,15,30,651,50,184,-9,-5,970,68.55,267.5,1.9000000000000001,0.134
2011,1,4,16,30,309,22,40,-9,-6,970,77.72,263.1,1,0.134
2011,1,4,17,30,0,0,0,-10,-6,970,71.06,245.4,0.8,0.134
2011,1,4,18,30,0,0,0,-10,-6,970,71.17,199.10000000000002,0.9,0.134
2011,1,4,19,30,0,0,0,-10,-7,970,77.51,170.60000000000002,1.2000000000000002,0.134
2011,1,4,20,30,0,0,0,-10,-8,970,84.61,162.60000000000002,1.3,0.134
2011,1,4,21,30,0,0,0,-9,-9,970,92.96000000000001,160.60000000000002,1.3,0.134
2011,1,4,22,30,0,0,0,-9,-9,970,95.01,162.70000000000002,1.4000000000000001,0.134
2011,1,4,23,30,0,0,0,-9,-9,970,97.72,167.8,1.4000000000000001,0.134
2011,1,5,0,30,0,0,0,-8,-9,970,100,175.70000000000002,1.3,0.134
2011,1,5,1,30,0,0,0,-8,-9,970,100,184,1.2000000000000002,0.134
2011,1,5,2,30,0,0,0,-8,-8,970,98.83,191.3,1.2000000000000002,0.134
2011,1,5,3,30,0,0,0,-8,-8,970,100,200.5,1.2000000000000002,0.134
2011,1,5,4,30,0,0,0,-7,-8,970,93.24,210.10000000000002,1.3,0.134
2011,1,5,5,30,0,0,0,-8,-8,970,92.32000000000001,218.8,1.5,0.134
2011,1,5,6,30,0,0,0,-8,-8,970,90.74,226.70000000000002,1.8,0.134
2011,1,5,7,30,0,0,0,-8,-7,970,89.2,237.20000000000002,2.4000000000000004,0.134
2011,1,5,8,30,446,33,82,-8,-6,970,83.8,253.10000000000002,2.8000000000000003,0.134
2011,1,5,9,30,440,74,183,-7,-4,970,77.26,264.2,2.8000000000000003,0.134
2011,1,5,10,30,150,148,201,-6,-1,970,68.74,266.8,3.1,0.134
2011,1,5,11,30,202,179,262,-4,1,970,64.79,277.8,4.1000000000000005,0.134
2011,1,5,12,30,6,150,153,-5,1,970,62.83,291.8,4.4,0.134
2011,1,5,13,30,353,152,292,-4,1,970,65.79,294.6,3.8000000000000003,0.134
2011,1,5,14,30,0,113,113,-3,1,970,71.46000000000001,289.6,3.1,0.134
2011,1,5,15,30,11,75,77,-2,0,970,80.97,280.1,2.4000000000000004,0.134
2011,1,5,16,30,0,17,17,-3,-1,970,77.46000000000001,274.1,2.3000000000000003,0.134
2011,1,5,17,30,0,0,0,-4,-2,970,75.63,278.1,2.8000000000000003,0.134
2011,1,5,18,30,0,0,0,-5,-2,970,78.29,286.1,3.1,0.134
2011,1,5,19,30,0,0,0,-5,-3,970,81.10000000000001,297,2.9000000000000004,0.134
2011,1,5,20,30,0,0,0,-6,-4,970,84.92,310,2.8000000000000003,0.134
2011,1,5,21,30,0,0,0,-6,-5,970,91.38,319.3,2.9000000000000004,0.134
2011,1,5,22,30,0,0,0,-6,-5,970,91.79,322.70000000000005,3.2,0.134
2011,1,5,23,30,0,0,0,-6,-5,970,92.05,323.70000000000005,3.2,0.134
2011,1,6,0,30,0,0,0,-6,-5,970,91.2,323.40000000000003,3,0.134
2011,1,6,1,30,0,0,0,-6,-5,970,89.59,321.70000000000005,2.9000000000000004,0.134
2011,1,6,2,30,0,0,0,-6,-5,970,88.09,317.20000000000005,2.7,0.134
2011,1,6,3,30,0,0,0,-6,-5,970,87.71000000000001,312.8,2.5,0.134
2011,1,6,4,30,0,0,0,-6,-5,970,87.37,307.40000000000003,2.2,0.134
2011,1,6,5,30,0,0,0,-6,-6,970,86.60000000000001,299,2,0.134
2011,1,6,6,30,0,0,0,-6,-6,970,85.95,292,2.2,0.134
