Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,767050,-,-,-,42.01,-93.78,-6,333,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo
2017,1,1,0,30,0,0,0,-8,-7,970,80.26,228.70000000000002,2.6,0.14100000000000001
2017,1,1,1,30,0,0,0,-8,-7,970,86.25,229.4,2.6,0.14100000000000001
2017,1,1,2,30,0,0,0,-8,-7,970,85.67,227.70000000000002,2.5,0.14100000000000001
2017,1,1,3,30,0,0,0,-9,-8,970,85.03,225.3,2.4000000000000004,0.14100000000000001
2017,1,1,4,30,0,0,0,-9,-8,970,91.19,223,2.3000000000000003,0.14100000000000001
2017,1,1,5,30,0,0,0,-9,-8,970,91.10000000000001,219.70000000000002,2.3000000000000003,0.14100000000000001
2017,1,1,6,30,0,0,0,-9,-8,970,91.85000000000001,216.9,2.1,0.14100000000000001
2017,1,1,7,30,0,0,0,-8,-7,970,85.89,216.4,2.1,0.14100000000000001
2017,1,1,8,30,472,32,84,-8,-6,970,82.02,216.5,2.4000000000000004,0.14100000000000001
2017,1,1,9,30,708,53,227,-7,-4,970,75.17,210.5,2.5,0.14100000000000001
2017,1,1,10,30,243,140,225,-6,-2,970,70.25,192.5,2.8000000000000003,0.14100000000000001
2017,1,1,11,30,514,127,337,-6,0,970,63.34,190,3.2,0.14100000000000001
2017,1,1,12,30,330,168,307,-5,0,970,64.27,186.9,2.8000000000000003,0.14100000000000001
2017,1,1,13,30,20,149,157,-5,0,970,66.18,175.3,2,0.14100000000000001
2017,1,1,14,30,11,116,120,-4,0,970,72.43,155.9,1.2000000000000002,0.14100000000000001
2017,1,1,15,30,0,68,68,-3,0,970,78.65,125.5,1.3,0.14100000000000001
2017,1,1,16,30,0,13,13,-4,-1,970,78.76,109.7,1.9000000000000001,0.14100000000000001
2017,1,1,17,30,0,0,0,-5,-2,970,79.16,106.4,2.6,0.14100000000000001
2017,1,1,18,30,0,0,0,-5,-2,970,77.79,106.9,3.2,0.14100000000000001
2017,1,1,19,30,0,0,0,-5,-2,970,77.4,108.10000000000001,3.6,0.14100000000000001
2017,1,1,20,30,0,0,0,-5,-2,970,76.94,108.30000000000001,3.8000000000000003,0.14100000000000001
2017,1,1,21,30,0,0,0,-5,-3,970,82.24,109.10000000000001,3.7,0.14100000000000001
2017,1,1,22,30,0,0,0,-5,-3,970,81.23,111.5,3.6,0.14100000000000001
2017,1,1,23,30,0,0,0,-5,-3,970,80.99,112.4,3.6,0.14100000000000001
2017,1,2,0,30,0,0,0,-5,-4,970,81.29,114.5,3.6,0.14100000000000001
2017,1,2,1,30,0,0,0,-5,-3,970,82.02,112.2,3.8000000000000003,0.14100000000000001
2017,1,2,2,30,0,0,0,-5,-3,970,83.61,108.60000000000001,3.9000000000000004,0.14100000000000001
2017,1,2,3,30,0,0,0,-5,-3,970,85.13,106.80000000000001,3.9000000000000004,0.14100000000000001
2017,1,2,4,30,0,0,0,-4,-3,970,86.35000000000001,103.9,3.9000000000000004,0.14100000000000001
2017,1,2,5,30,0,0,0,-4,-3,970,87.35000000000001,101.2,3.8000000000000003,0.14100000000000001
2017,1,2,6,30,0,0,0,-4,-2,970,82.75,102.5,3.6,0.14100000000000001
2017,1,2,7,30,0,0,0,-4,-2,970,85.13,106.2,3.5,0.14100000000000001
2017,1,2,8,30,0,12,12,-3,-1,970,81.72,108.9,3.5,0.14100000000000001
2017,1,2,9,30,0,37,37,-3,0,970,79.19,110.9,3.6,0.14100000000000001
2017,1,2,10,30,0,59,59,-2,0,970,83.63,112.2,3.7,0.14100000000000001
2017,1,2,11,30,0,85,85,-1,0,970,90.10000000000001,113.4,3.6,0.14100000000000001
2017,1,2,12,30,0,75,75,0,1,970,89.10000000000001,114.60000000000001,3.3000000000000003,0.14100000000000001
2017,1,2,13,30,0,88,88,0,1,970,92.96000000000001,109.7,2.9000000000000004,0.14100000000000001
