Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,767050,-,-,-,42.01,-93.78,-6,333,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo
2002,1,1,0,30,0,0,0,-17,-15,980,80.02,314.20000000000005,3.1,0.866
2002,1,1,1,30,0,0,0,-17,-16,980,84.91,314.90000000000003,3,0.866
2002,1,1,2,30,0,0,0,-18,-16,980,83.06,314.20000000000005,3,0.866
2002,1,1,3,30,0,0,0,-18,-15,980,75.58,312.90000000000003,3.1,0.866
2002,1,1,4,30,0,0,0,-18,-15,980,76.52,312.70000000000005,3.1,0.866
2002,1,1,5,30,0,0,0,-17,-14,980,72.60000000000001,313.90000000000003,3,0.866
2002,1,1,6,30,0,0,0,-17,-14,980,74.94,315.70000000000005,2.9000000000000004,0.866
2002,1,1,7,30,0,0,0,-17,-13,980,71.15,316.6,2.8000000000000003,0.866
2002,1,1,8,30,119,39,52,-16,-12,980,69.34,317.70000000000005,3.2,0.866
2002,1,1,9,30,376,79,172,-15,-10,980,63.43,335.20000000000005,3.6,0.866
2002,1,1,10,30,542,98,287,-14,-9,980,62.31,341.8,3.7,0.866
2002,1,1,11,30,883,80,440,-14,-8,980,60.77,339.1,3.8000000000000003,0.866
2002,1,1,12,30,549,125,357,-13,-8,980,58.620000000000005,336.40000000000003,3.9000000000000004,0.866
2002,1,1,13,30,587,105,334,-13,-8,980,59.620000000000005,336.8,4,0.866
